ID,y
25318,0.4570659
25319,0.022427827
25320,0.047774643
25321,0.45991343
25322,0.014431953
25323,0.0010226369
25324,0.00085011125
25325,0.020254105
25326,0.008980989
25327,0.16757855
25328,0.47927523
25329,0.023890167
25330,0.008274138
25331,0.011814088
25332,0.0034778416
25333,0.021930695
25334,0.10012293
25335,0.00073599815
25336,0.006555736
25337,0.2885781
25338,0.0040410757
25339,0.020727664
25340,0.004768014
25341,0.054802686
25342,0.668044
25343,0.023063898
25344,0.0059874356
25345,0.015510142
25346,0.01577884
25347,0.0080758035
25348,0.025098115
25349,0.04101649
25350,0.012308925
25351,0.022387683
25352,0.023721248
25353,0.08311054
25354,0.035547465
25355,0.5088018
25356,0.35893595
25357,0.011279285
25358,0.35131222
25359,0.03382528
25360,0.018267512
25361,0.053373754
25362,0.11353904
25363,0.88746816
25364,0.0025458336
25365,0.011255324
25366,0.018627703
25367,0.008346558
25368,0.64506257
25369,0.0038332343
25370,0.011734039
25371,0.01859358
25372,0.005188912
25373,0.011135757
25374,0.024199456
25375,0.0028667152
25376,0.034080863
25377,0.02744782
25378,0.0009435117
25379,0.117111474
25380,0.014496207
25381,0.03267777
25382,0.0042797923
25383,0.043971002
25384,0.006197661
25385,0.055315286
25386,0.00376001
25387,0.34942263
25388,0.04865688
25389,0.03071183
25390,0.0036935508
25391,0.07729298
25392,0.19076052
25393,0.04774362
25394,0.18441242
25395,0.044442713
25396,0.007885039
25397,0.010854542
25398,0.9983163
25399,0.084407
25400,0.0127002
25401,0.008925319
25402,0.6888865
25403,0.040545255
25404,0.007261336
25405,0.09234139
25406,0.0033240914
25407,0.036081612
25408,0.34208637
25409,0.0225887
25410,0.082258075
25411,0.05898902
25412,0.63988125
25413,0.71433914
25414,0.13868657
25415,0.90373003
25416,0.015223384
25417,0.14074266
25418,0.0701046
25419,0.0014184415
25420,0.015757263
25421,0.0015606284
25422,4.1102816e-05
25423,0.0060912073
25424,0.035690367
25425,0.010795653
25426,0.17397442
25427,0.27484986
25428,0.021046847
25429,0.30897668
25430,0.03175813
25431,0.037316233
25432,0.016838938
25433,0.005243659
25434,0.953328
25435,0.008634567
25436,0.006844163
25437,0.023804754
25438,0.0053602457
25439,0.59831643
25440,0.73542887
25441,0.61768246
25442,0.0029761791
25443,0.005312681
25444,0.14240366
25445,0.014110506
25446,0.064563036
25447,0.06985125
25448,0.02771762
25449,0.08744362
25450,0.03530875
25451,0.038387537
25452,0.015854895
25453,0.013941705
25454,0.9285589
25455,0.0058089793
25456,0.018164396
25457,0.5235776
25458,0.8749255
25459,0.055044115
25460,0.11367899
25461,0.015998453
25462,0.1009818
25463,0.49616936
25464,0.02707237
25465,0.003918141
25466,0.020252138
25467,0.10441893
25468,0.24231383
25469,0.003665477
25470,0.0080007315
25471,0.0053880513
25472,0.0146847665
25473,0.07084733
25474,0.010727435
25475,0.013861865
25476,0.015382528
25477,0.025760531
25478,0.7665008
25479,0.015182912
25480,0.011997491
25481,0.09951952
25482,0.0108383
25483,0.0120817125
25484,0.06956044
25485,0.9792668
25486,0.06948537
25487,0.002252221
25488,0.22910136
25489,0.43709576
25490,0.4290799
25491,0.07871553
25492,0.0074115098
25493,0.35731155
25494,0.89520526
25495,0.08147979
25496,0.02107951
25497,0.038239032
25498,0.006246209
25499,0.021010697
25500,0.0055594146
25501,0.0111067
25502,0.20965677
25503,0.011206001
25504,0.008841485
25505,0.12951621
25506,0.19018793
25507,0.020775616
25508,0.031503946
25509,0.03142914
25510,0.04375285
25511,0.069606304
25512,0.06909597
25513,0.018984646
25514,0.005511105
25515,0.57805353
25516,0.013911575
25517,0.0023456812
25518,0.5075691
25519,0.024402171
25520,0.04699388
25521,0.0025056005
25522,0.04384026
25523,0.6855674
25524,0.0066532195
25525,0.35785666
25526,0.25744832
25527,0.06971508
25528,0.0033819377
25529,0.053074986
25530,0.0065535307
25531,0.014774144
25532,0.074608326
25533,0.08368668
25534,0.06095895
25535,0.09666717
25536,0.26304847
25537,0.0042255223
25538,0.04543513
25539,0.2301591
25540,0.33369952
25541,0.53182316
25542,0.011338085
