20140901,320601918.83312434,368798815.6339148
20140902,329063338.19361037,318875707.3081807
20140903,308667572.0620066,340775305.18363106
20140904,256220019.26530576,329166722.0023203
20140905,228280185.12289286,257258782.1494446
20140906,204338007.99254602,238133083.29673383
20140907,243177354.28512064,223116583.0953761
20140908,285565526.9408778,360875097.94938797
20140909,314726063.86119944,295057614.99030596
20140910,300835598.3164137,344224260.4325173
20140911,263196873.9202549,316822087.18059856
20140912,231059463.89554846,264007111.83823147
20140913,224282913.35801068,234893733.93405533
20140914,255558759.6074245,230972613.48170137
20140915,297021230.86368537,358607727.40450823
20140916,322567937.68911904,296644618.76983595
20140917,309765303.6193242,354008473.55906993
20140918,271878419.05048865,314317005.05211496
20140919,236077829.50454155,275066855.5867014
20140920,228881032.36783585,234991663.60665405
20140921,255678855.174416,241769289.50675604
20140922,295792489.0540732,356858248.1838129
20140923,320423927.6414606,300912342.23430675
20140924,310988659.7862188,362790630.0030128
20140925,276244491.4373046,313516399.0870525
20140926,242377206.8566602,285923126.0005569
20140927,235298461.19665492,235306862.47128135
20140928,260236268.15698913,253115824.094809
20140929,298813576.04245293,354359736.3523559
20140930,322811271.22110426,306706359.7764387
