SaleID,price
200000,1280.8302254429382
200001,1805.682014541857
200002,8408.709652020774
200003,1196.7526756433472
200004,1983.9189381012566
200005,1223.2915046395624
200006,405.1144301305807
200007,3493.031639678179
200008,12259.031521543398
200009,593.3643037455284
200010,639.2321540420173
200011,2649.600775556512
200012,6012.7957144995835
200013,7977.514329593127
200014,1773.0979769192568
200015,256.2213210010631
200016,1780.9821053894902
200017,8552.079015494723
200018,6914.968706717977
200019,690.3329255590386
200020,24786.93568574621
200021,7396.608855787243
200022,1794.1538778090153
200023,1562.7968902753382
200024,767.5179002421905
200025,8407.249988439395
200026,426.88282265403757
200027,12866.76530661149
200028,4134.518247992478
200029,7914.134507762043
200030,17697.95727940946
200031,12561.850707662827
200032,614.3746827865766
200033,14589.62517832695
200034,781.2447783020034
200035,1920.1378626992175
200036,14263.556513007048
200037,6117.39573205364
200038,1483.7356632147357
200039,320.608594766872
200040,609.7120432304728
200041,24045.1401221004
200042,424.61365221844505
200043,8125.679812540799
200044,18085.53198717325
200045,565.6981847482446
200046,15657.55479952698
200047,17172.198155061844
200048,1966.192564475948
200049,2969.186092010649
200050,741.858312849467
200051,4441.057371935562
200052,2866.5526124557828
200053,486.4052533716418
200054,13553.620013198019
200055,10679.118716661942
200056,8051.156065724663
200057,3324.6740416217926
200058,1164.0320529634016
200059,5176.549822838263
200060,8012.2543810539
200061,1226.8576733567452
200062,5268.410071674261
200063,8116.46792177683
200064,1261.5645002384485
200065,1758.1970070383513
200066,489.8837293915291
200067,9947.260559331578
200068,156.92089829522848
200069,18019.60411816403
200070,8671.832422873194
200071,379.8062146128178
200072,6396.249521917205
200073,18217.732642473944
200074,4522.8868419879145
200075,16562.17316203114
200076,3092.5142430387664
200077,441.8911233048975
200078,423.27304657665786
200079,2808.0365402624466
200080,3188.6551004236003
200081,2102.059274891738
200082,3757.2148002919316
200083,431.24379547701005
200084,1247.5052304131814
200085,1710.3726210267664
200086,6813.059322579615
200087,3380.274568281283
200088,2482.023328739413
200089,41447.38396575531
200090,2728.029745633209
200091,250.01307661545178
200092,1521.4111645027435
